Player,Age,Pos,Min_24,90s_24,Gls_24,Ast_24,G+A_24,xG_24,npxG_24,xAG_24,PrgC_24,PrgP_24,PrgR_24,Min_25,90s_25,Gls_25,Ast_25,G+A_25,PrgC_25,PrgP_25,PrgR_25,xG_25,xAG_25,Age_current,GA_per90_24,xG_per90_24,xAG_per90_24,GA_per90_25,xG_per90_25,xAG_per90_25,GA_consistency,GA_volatility,xG_consistency,xG_volatility,xAG_consistency,xAG_volatility,GA_trend,xG_trend,xAG_trend,Pos_encoded,Pos_24
Alan Matturro,19.0,DF,900.0,10.0,0.0,0.0,0.0,0.2,0.2,0.2,12.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.02,0.0,-0.02,-0.02,0,DF
Alassane Pléa,31.0,MF,1902.0,21.1,11.0,4.0,15.0,7.4,6.6,3.1,51.0,116.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.7109004739336492,0.35071090047393366,0.14691943127962084,0.0,0.0,0.0,0.3554502369668246,0.7109004739336492,0.17535545023696683,0.35071090047393366,0.07345971563981042,0.14691943127962084,-0.7109004739336492,-0.35071090047393366,-0.14691943127962084,3,MF
Alban Lafont,25.0,GK,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,GK
Albert Grønbaek,23.0,FW,143.0,1.6,0.0,0.0,0.0,0.1,0.1,0.0,1.0,1.0,3.0,59.0,0.7,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,25.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0625,0.0,0.0,0.0,-0.0625,0.0,1,FW
Albert Guðmundsson,27.0,FW,1273.0,14.1,6.0,1.0,7.0,4.5,2.9,1.8,35.0,37.0,59.0,153.0,1.7,0.0,1.0,1.0,3.0,2.0,3.0,0.0,0.8,29.0,0.49645390070921985,0.3191489361702128,0.12765957446808512,0.5882352941176471,0.0,0.4705882352941177,0.5423445974134334,0.09178139340842723,0.1595744680851064,0.3191489361702128,0.2991239048811014,0.34292866082603257,0.09178139340842723,-0.3191489361702128,0.34292866082603257,1,FW
Albert Sambi Lokonga,24.0,MF,1471.0,16.3,0.0,2.0,2.0,0.9,0.9,1.0,24.0,93.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.12269938650306748,0.05521472392638037,0.06134969325153374,0.0,0.0,0.0,0.06134969325153374,0.12269938650306748,0.027607361963190184,0.05521472392638037,0.03067484662576687,0.06134969325153374,-0.12269938650306748,-0.05521472392638037,-0.06134969325153374,3,MF
Alberto Cerri,28.0,FW,87.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,-1.0,0.0,1,FW
Alberto Dossena,25.0,DF,1825.0,20.3,0.0,2.0,2.0,0.8,0.8,0.7,4.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.09852216748768472,0.03940886699507389,0.034482758620689655,0.0,0.0,0.0,0.04926108374384236,0.09852216748768472,0.019704433497536946,0.03940886699507389,0.017241379310344827,0.034482758620689655,-0.09852216748768472,-0.03940886699507389,-0.034482758620689655,0,DF
Alberto Grassi,29.0,MF,2203.0,24.5,1.0,0.0,1.0,1.0,1.0,0.8,18.0,74.0,24.0,79.0,0.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,31.0,0.04081632653061224,0.04081632653061224,0.0326530612244898,0.0,0.0,0.0,0.02040816326530612,0.04081632653061224,0.02040816326530612,0.04081632653061224,0.0163265306122449,0.0326530612244898,-0.04081632653061224,-0.04081632653061224,-0.0326530612244898,3,MF
Alberto Manzoni,19.0,MF,6.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,-1.0,0.0,3,MF
